latitude,longitude,region
41.45787122951685,-71.90696684512099,North America
40.50540354824322,-72.61904947563085,North America
41.68433280715104,-73.91655444511974,North America
42.99734478461204,-74.97640516655837,North America
40.361569937915,-72.95866502957962,North America
40.36159456457623,-73.41577192186737,North America
43.081619223261086,-72.6632101699584,North America
41.86395209372937,-73.05324229747704,North America
40.00858842109757,-72.431670927021,North America
41.52664006537895,-74.80885281734085,North America
40.01767346078131,-72.02990890154851,North America
40.014205369644614,-73.7096005929614,North America
41.07574340734905,-70.8931086910621,North America
37.842879633013304,-75.03978172713435,North America
38.12542325123045,-71.40205429525213,North America
39.869368706138545,-73.70913382480603,North America
39.19355331949836,-74.98312700542168,North America
41.18417099889291,-74.73182875108148,North America
39.350763886718184,-74.48652096229148,North America
38.59434444799707,-73.36975108039712,North America
42.91127315338233,-73.22174676794675,North America
40.3741355492702,-74.86655000590787,North America
40.814092307031885,-74.04253188839148,North America
38.57567772067981,-70.7925944620822,North America
39.89622591321223,-71.41468524484894,North America
40.8791838845648,-73.35151449548896,North America
38.98630963386655,-73.9489947827477,North America
41.27634702751851,-73.82595300992261,North America
39.81184196512179,-73.08572304090437,North America
40.275259375310085,-75.54018884779761,North America
39.810240081655905,-74.39206480613502,North America
43.49121727676341,-76.50887611081639,North America
40.6925541628931,-73.40716531609208,North America
39.12623360656615,-73.03520609044588,North America
41.94661736815478,-74.73077969344907,North America
38.88153452504347,-71.64501985506494,North America
41.02609539250714,-75.84464849450352,North America
37.77329481418034,-76.20256232031473,North America
38.720520926652355,-73.66932227216004,North America
41.008091853803684,-72.43535254608177,North America
41.820499869993114,-71.48010846281319,North America
40.96985242178496,-74.69432639430342,North America
40.53932757641764,-72.38797874985306,North America
40.261144456616066,-74.06376270425106,North America
38.49501701444886,-74.26494094991124,North America
39.63303368740794,-72.68051009377,North America
40.02184184356032,-73.02751568237987,North America
42.29848333932838,-76.37058823547638,North America
41.228227434352696,-71.79118947541116,North America
38.0682397669559,-71.93586296877882,North America
41.198925954092196,-74.9443440522643,North America
40.135176579375525,-73.41229469984388,North America
39.69741699954106,-73.26495472057589,North America
41.630314433261304,-73.61498935126414,North America
42.25929928374393,-74.83145773076814,North America
42.1097201786743,-75.01343505190708,North America
39.45397371516604,-74.04433110648716,North America
